country,port_name,locode
Russia,Astrakhan,RUASF
Russia,Astrakhan,RUASF
Russia,Astrakhan,RUASF
Norway,Aukra,NOAUK
Norway,Aukra,NOAUK
Norway,Aukra,NOAUK
Norway,Aukra,NOAUK
Norway,Aukra,NOAUK
Norway,Aukra,NOAUK
Norway,Aukra,NOAUK
Norway,Aukra,NOAUK
Norway,Aukra,NOAUK
Norway,Aukra,NOAUK
Norway,Aukra,NOAUK
Norway,Aukra,NOAUK
Norway,Aukra,NOAUK
Norway,Aukra,NOAUK
Norway,Aukra,NOAUK
Norway,Aukra,NOAUK
Norway,Aukra,NOAUK
Norway,Aukra,NOAUK
Norway,Aukra,NOAUK
Norway,Aukra,NOAUK
Greece,Ayia Trias,GRATR
Greece,Ayia Trias,GRATR
Greece,Ayia Trias,GRATR
Greece,Ayia Trias,GRATR
Greece,Ayia Trias,GRATR
Greece,Ayia Trias,GRATR
Greece,Ayia Trias,GRATR
Greece,Ayia Trias,GRATR
Greece,Ayia Trias,GRATR
Greece,Ayia Trias,GRATR
Greece,Ayia Trias,GRATR
Greece,Ayia Trias,GRATR
Greece,Ayia Trias,GRATR
Greece,Ayia Trias,GRATR
Greece,Ayia Trias,GRATR
Greece,Ayia Trias,GRATR
Greece,Ayia Trias,GRATR
Greece,Ayia Trias,GRATR
Greece,Ayia Trias,GRATR
Greece,Ayia Trias,GRATR
Guadeloupe,Baie Mahault,GPBMH
Guadeloupe,Baie Mahault,GPBMH
Guadeloupe,Baie Mahault,GPBMH
Guadeloupe,Baie Mahault,GPBMH
Guadeloupe,Baie Mahault,GPBMH
Guadeloupe,Baie Mahault,GPBMH
Guadeloupe,Baie Mahault,GPBMH
Guadeloupe,Baie Mahault,GPBMH
Guadeloupe,Baie Mahault,GPBMH
Guadeloupe,Baie Mahault,GPBMH
Guadeloupe,Baie Mahault,GPBMH
Guadeloupe,Baie Mahault,GPBMH
Guadeloupe,Baie Mahault,GPBMH
Guadeloupe,Baie Mahault,GPBMH
Guadeloupe,Baie Mahault,GPBMH
Guadeloupe,Baie Mahault,GPBMH
Guadeloupe,Baie Mahault,GPBMH
Guadeloupe,Baie Mahault,GPBMH
Guadeloupe,Baie Mahault,GPBMH
Guadeloupe,Baie Mahault,GPBMH
United Kingdom (UK),Ballywalter,GBLYW
United Kingdom (UK),Ballywalter,GBLYW
United Kingdom (UK),Ballywalter,GBLYW
United Kingdom (UK),Ballywalter,GBLYW
United Kingdom (UK),Ballywalter,GBLYW
United Kingdom (UK),Ballywalter,GBLYW
United Kingdom (UK),Ballywalter,GBLYW
United Kingdom (UK),Ballywalter,GBLYW
United Kingdom (UK),Ballywalter,GBLYW
United Kingdom (UK),Ballywalter,GBLYW
United Kingdom (UK),Ballywalter,GBLYW
United Kingdom (UK),Ballywalter,GBLYW
United Kingdom (UK),Ballywalter,GBLYW
United Kingdom (UK),Ballywalter,GBLYW
United Kingdom (UK),Ballywalter,GBLYW
United Kingdom (UK),Ballywalter,GBLYW
United Kingdom (UK),Ballywalter,GBLYW
United Kingdom (UK),Ballywalter,GBLYW
United Kingdom (UK),Ballywalter,GBLYW
United Kingdom (UK),Ballywalter,GBLYW
Turkey,Bandirma,TRBDM
Turkey,Bandirma,TRBDM
Turkey,Bandirma,TRBDM
Turkey,Bandirma,TRBDM
Turkey,Bandirma,TRBDM
Turkey,Bandirma,TRBDM
Turkey,Bandirma,TRBDM
Turkey,Bandirma,TRBDM
Turkey,Bandirma,TRBDM
Turkey,Bandirma,TRBDM
Turkey,Bandirma,TRBDM
Turkey,Bandirma,TRBDM
Turkey,Bandirma,TRBDM
Turkey,Bandirma,TRBDM
Turkey,Bandirma,TRBDM
Turkey,Bandirma,TRBDM
Turkey,Bandirma,TRBDM
Turkey,Bandirma,TRBDM
Turkey,Bandirma,TRBDM
Turkey,Bandirma,TRBDM
Spain,Barbate,ESBDF
Spain,Barbate,ESBDF
Spain,Barbate,ESBDF
Spain,Barbate,ESBDF
Spain,Barbate,ESBDF
Spain,Barbate,ESBDF
Spain,Barbate,ESBDF
Spain,Barbate,ESBDF
Spain,Barbate,ESBDF
Spain,Barbate,ESBDF
Spain,Barbate,ESBDF
Spain,Barbate,ESBDF
Spain,Barbate,ESBDF
Spain,Barbate,ESBDF
Spain,Barbate,ESBDF
Spain,Barbate,ESBDF
Spain,Barbate,ESBDF
Spain,Barbate,ESBDF
Spain,Barbate,ESBDF
Spain,Barbate,ESBDF
United Kingdom (UK),Barry Dock,GBBAD
United Kingdom (UK),Barry Dock,GBBAD
United Kingdom (UK),Barry Dock,GBBAD
United Kingdom (UK),Barry Dock,GBBAD
United Kingdom (UK),Barry Dock,GBBAD
United Kingdom (UK),Barry Dock,GBBAD
United Kingdom (UK),Barry Dock,GBBAD
United Kingdom (UK),Barry Dock,GBBAD
United Kingdom (UK),Barry Dock,GBBAD
United Kingdom (UK),Barry Dock,GBBAD
United Kingdom (UK),Barry Dock,GBBAD
United Kingdom (UK),Barry Dock,GBBAD
United Kingdom (UK),Barry Dock,GBBAD
United Kingdom (UK),Barry Dock,GBBAD
United Kingdom (UK),Barry Dock,GBBAD
United Kingdom (UK),Barry Dock,GBBAD
United Kingdom (UK),Barry Dock,GBBAD
United Kingdom (UK),Barry Dock,GBBAD
United Kingdom (UK),Barry Dock,GBBAD
United Kingdom (UK),Barry Dock,GBBAD
Norway,Batsfjord,NOBJF
Norway,Batsfjord,NOBJF
Norway,Batsfjord,NOBJF
Norway,Batsfjord,NOBJF
Norway,Batsfjord,NOBJF
Norway,Batsfjord,NOBJF
Norway,Batsfjord,NOBJF
Norway,Batsfjord,NOBJF
Norway,Batsfjord,NOBJF
Norway,Batsfjord,NOBJF
Norway,Batsfjord,NOBJF
Norway,Batsfjord,NOBJF
Norway,Batsfjord,NOBJF
Norway,Batsfjord,NOBJF
Norway,Batsfjord,NOBJF
Norway,Batsfjord,NOBJF
Norway,Batsfjord,NOBJF
Norway,Batsfjord,NOBJF
Norway,Batsfjord,NOBJF
Norway,Batsfjord,NOBJF
Canada,Beauharnois,CABHA
